"einkommensgruppe";"gewichtungsfaktor_grouped";"mean_haushaltsnettoeinkommen_month";"weighted_mean_haushaltsnettoeinkommen_month";"median_haushaltsnettoeinkommen_month";"sd_haushaltsnettoeinkommen_month";"n"
"bis unter 500 Euro";"1.0";245,578431372549;266,966446300665;365,833333333333;326,586130134331;34
"bis unter 500 Euro";"1.3-1.5";242,75;228,609585346405;279,833333333333;153,728325783338;4
"500 bis unter 750 Euro";"1.0";669,047138047138;668,662947806009;683,333333333333;69,5541520561947;99
"500 bis unter 750 Euro";"1.3-1.5";640,666666666667;639,509805212861;668,333333333333;93,1861935410319;5
"750 bis unter 1.000 Euro";"1.0";867,073800738007;870,140977318523;853,333333333333;72,4620766882238;271
"750 bis unter 1.000 Euro";"1.3-1.5";888,488888888889;878,843801921032;893;67,3996451720049;15
"1.000 bis unter 1.250 Euro";"1.0";1121,1235059761;1121,90680063087;1120,66666666667;70,6343779750741;251
"1.000 bis unter 1.250 Euro";"1.3-1.5";1170,95555555556;1172,33620115639;1192,33333333333;68,3590774792832;30
"1.000 bis unter 1.250 Euro";"1.6-2.0";1183;1185,61075496087;1197,66666666667;45,4612166821591;5
"1.000 bis unter 1.250 Euro";"2.1-4.1";1141,66666666667;1141,66666666667;1141,66666666667;NA;1
"1.250 bis unter 1.500 Euro";"1.0";1374,22926829268;1375,25227845233;1378;74,6698616974859;205
"1.250 bis unter 1.500 Euro";"1.3-1.5";1374,19047619048;1378,7588147479;1379;62,2246654849104;91
"1.250 bis unter 1.500 Euro";"1.6-2.0";1425,33333333333;1418,97455879079;1435,16666666667;40,2193983047982;6
"1.250 bis unter 1.500 Euro";"2.1-4.1";1311,66666666667;1311,66666666667;1311,66666666667;NA;1
"1.500 bis unter 1.750 Euro";"1.0";1626,94247038917;1624,05354137119;1629;70,939636646994;197
"1.500 bis unter 1.750 Euro";"1.3-1.5";1629,44126984127;1622,70713739584;1628;70,8181958974307;105
"1.500 bis unter 1.750 Euro";"1.6-2.0";1663,78787878788;1646,41647432382;1694,16666666667;71,1401140350212;22
"1.500 bis unter 1.750 Euro";"2.1-4.1";1594,83333333333;1591,34693291545;1594,83333333333;120,443855062109;2
"1.750 bis unter 2.000 Euro";"1.0";1868,4380952381;1871,71021924921;1866,5;68,3818952863019;210
"1.750 bis unter 2.000 Euro";"1.3-1.5";1868,2389380531;1866,23842212983;1860,66666666667;68,701771958886;113
"1.750 bis unter 2.000 Euro";"1.6-2.0";1871,44444444444;1860,15864837216;1864,5;55,4605371009274;24
"1.750 bis unter 2.000 Euro";"2.1-4.1";1948,74074074074;1946,31394582629;1968;58,7633620213257;9
"2.000 bis unter 2.250 Euro";"1.0";2122,11175337187;2122,63047060635;2125;73,1136886607579;173
"2.000 bis unter 2.250 Euro";"1.3-1.5";2124,01282051282;2121,61979917121;2128,5;73,2319407568979;130
"2.000 bis unter 2.250 Euro";"1.6-2.0";2131,14074074074;2131,04388065643;2139;71,4848111609142;45
"2.000 bis unter 2.250 Euro";"2.1-4.1";2131,7380952381;2131,92207963254;2144,5;71,2189567786542;14
"2.250 bis unter 2.500 Euro";"1.0";2369,09493670886;2367,0254643849;2366;69,7240043993918;158
"2.250 bis unter 2.500 Euro";"1.3-1.5";2379,37037037037;2379,86104982426;2383,33333333333;64,70309108337;117
"2.250 bis unter 2.500 Euro";"1.6-2.0";2370,56737588653;2363,20486098819;2387;77,7818364504958;47
"2.250 bis unter 2.500 Euro";"2.1-4.1";2372,96296296296;2378,91750449461;2382,16666666667;68,2806481631527;18
"2.500 bis unter 3.000 Euro";"1.0";2724,72586872587;2732,83685419172;2728,66666666667;141,311760685586;259
"2.500 bis unter 3.000 Euro";"1.3-1.5";2770,54618473896;2772,18080335302;2766,66666666667;140,860313426783;249
"2.500 bis unter 3.000 Euro";"1.6-2.0";2770,39316239316;2759,4578897484;2783,83333333333;139,102697988071;78
"2.500 bis unter 3.000 Euro";"2.1-4.1";2765,9298245614;2765,49272400846;2804,66666666667;142,25806162949;57
"3.000 bis unter 4.000 Euro";"1.0";3440,66230936819;3434,68630435051;3415,83333333333;274,525130616099;306
"3.000 bis unter 4.000 Euro";"1.3-1.5";3506,75501253133;3496,95274007703;3502;282,914348319373;532
"3.000 bis unter 4.000 Euro";"1.6-2.0";3522,69333333333;3506,35928753845;3554,66666666667;287,407527019216;225
"3.000 bis unter 4.000 Euro";"2.1-4.1";3576,53909465021;3545,88340420174;3615,5;291,161935680537;162
"4.000 bis unter 5.000 Euro";"1.0";4409,28873239437;4422,49165965944;4404,66666666667;263,681480454263;142
"4.000 bis unter 5.000 Euro";"1.3-1.5";4481,16124920331;4475,14176292962;4463,66666666667;279,600187631851;523
"4.000 bis unter 5.000 Euro";"1.6-2.0";4502,29527559055;4505,01588536044;4484,66666666667;299,051527815069;254
"4.000 bis unter 5.000 Euro";"2.1-4.1";4509,99841269841;4504,93574346446;4518,66666666667;285,264210608214;210
"5.000 Euro und mehr";"1.0";7389,70535714286;7304,80880895701;6146,83333333333;5874,80236845117;112
"5.000 Euro und mehr";"1.3-1.5";7295,07021202642;7355,32440193796;6332,33333333333;3523,9713199419;959
"5.000 Euro und mehr";"1.6-2.0";7356,6802824004;7547,820844643;6599;3201,01648670088;661
"5.000 Euro und mehr";"2.1-4.1";7585,34571948998;7585,70794993611;6745,33333333333;3217,64800166565;915
