"","trinkgruppe","einkommensgruppe","altersgruppe","sex","beverage_type","avg_wert_pro_stdd_w","ci_low_wert_pro_stdd_w","ci_high_wert_pro_stdd_w","n"
"1","risikoarm","1","18-34",1,"bier",0.574811041059796,0.53170860090299,0.617913481216602,221
"2","risikoarm","1","18-34",1,"wein",0.627929468481218,0.573984903222785,0.681874033739651,204
"3","risikoarm","1","18-34",1,"sprit",0.62205968056464,0.541273458598447,0.702845902530834,102
"4","risikoarm","1","18-34",2,"bier",0.674880742002969,0.603802346005066,0.745959138000871,207
"5","risikoarm","1","18-34",2,"wein",0.574804121144104,0.528652474580239,0.620955767707969,243
"6","risikoarm","1","18-34",2,"sprit",0.589832562209033,0.487901367904461,0.691763756513605,78
"7","risikoarm","1","35-59",1,"bier",0.486405175741125,0.460940513415033,0.511869838067216,303
"8","risikoarm","1","35-59",1,"wein",0.56677771182395,0.522502014204238,0.611053409443662,240
"9","risikoarm","1","35-59",1,"sprit",0.528702701558605,0.46790771944699,0.589497683670219,134
"10","risikoarm","1","35-59",2,"bier",0.50924742608818,0.479388052167502,0.539106800008858,335
"11","risikoarm","1","35-59",2,"wein",0.590365833354753,0.553487533132437,0.627244133577069,369
"12","risikoarm","1","35-59",2,"sprit",0.53224825618667,0.47664802779138,0.587848484581961,150
"13","risikoarm","1","60+",1,"bier",0.439698184321085,0.418352230896743,0.461044137745428,359
"14","risikoarm","1","60+",1,"wein",0.598138035107296,0.558563926834682,0.63771214337991,303
"15","risikoarm","1","60+",1,"sprit",0.511092154534771,0.452639863269494,0.569544445800048,175
"16","risikoarm","1","60+",2,"bier",0.460758743166224,0.437584337760803,0.483933148571645,347
"17","risikoarm","1","60+",2,"wein",0.597499549778226,0.562627511656873,0.632371587899579,405
"18","risikoarm","1","60+",2,"sprit",0.507690651905741,0.441365490319518,0.574015813491964,207
"19","risikoarm","2","18-34",1,"bier",0.592985943195944,0.551395353095486,0.634576533296402,310
"20","risikoarm","2","18-34",1,"wein",0.622555037603782,0.565605519890666,0.679504555316897,276
"21","risikoarm","2","18-34",1,"sprit",0.612010703872851,0.546642215471963,0.677379192273738,160
"22","risikoarm","2","18-34",2,"bier",0.62669937679478,0.580555911760241,0.672842841829318,266
"23","risikoarm","2","18-34",2,"wein",0.657233704180736,0.575501681583189,0.738965726778282,265
"24","risikoarm","2","18-34",2,"sprit",0.610215239785762,0.512006667558472,0.708423812013052,105
"25","risikoarm","2","35-59",1,"bier",0.538606588101535,0.512668641549531,0.564544534653538,556
"26","risikoarm","2","35-59",1,"wein",0.632568224810533,0.583904126185603,0.681232323435463,503
"27","risikoarm","2","35-59",1,"sprit",0.615327907070933,0.547180811743859,0.683475002398006,267
"28","risikoarm","2","35-59",2,"bier",0.550660609847931,0.526694760386668,0.574626459309194,610
"29","risikoarm","2","35-59",2,"wein",0.615989701766751,0.575131482842368,0.656847920691134,628
"30","risikoarm","2","35-59",2,"sprit",0.60233117400742,0.543855237978996,0.660807110035844,315
"31","risikoarm","2","60+",1,"bier",0.511346583465001,0.486021891573693,0.536671275356309,461
"32","risikoarm","2","60+",1,"wein",0.676896689063449,0.620676132176832,0.733117245950067,468
"33","risikoarm","2","60+",1,"sprit",0.554475545121241,0.509217488738909,0.599733601503573,265
"34","risikoarm","2","60+",2,"bier",0.52112195236365,0.494118535309327,0.548125369417973,457
"35","risikoarm","2","60+",2,"wein",0.68314266109976,0.632599492171776,0.733685830027743,527
"36","risikoarm","2","60+",2,"sprit",0.509797428548703,0.47243769136572,0.547157165731685,274
"37","risikoarm","3","18-34",1,"bier",0.653620468555077,0.610701242647213,0.696539694462941,273
"38","risikoarm","3","18-34",1,"wein",0.74488021500955,0.673000514834528,0.816759915184571,254
"39","risikoarm","3","18-34",1,"sprit",0.712261754718189,0.627742257222526,0.796781252213851,141
"40","risikoarm","3","18-34",2,"bier",0.632509303428744,0.595888020734336,0.669130586123153,256
"41","risikoarm","3","18-34",2,"wein",0.738542369333499,0.679280324994176,0.797804413672823,227
"42","risikoarm","3","18-34",2,"sprit",0.729068474013077,0.639267747551915,0.818869200474239,122
"43","risikoarm","3","35-59",1,"bier",0.599961279800962,0.578802053133341,0.621120506468584,743
"44","risikoarm","3","35-59",1,"wein",0.753465210955209,0.717054540147656,0.789875881762761,735
"45","risikoarm","3","35-59",1,"sprit",0.757491206284887,0.694297285033509,0.820685127536264,379
"46","risikoarm","3","35-59",2,"bier",0.626114472241346,0.574060009935856,0.678168934546835,682
"47","risikoarm","3","35-59",2,"wein",0.746892292136404,0.710284108852246,0.783500475420561,747
"48","risikoarm","3","35-59",2,"sprit",0.72104186900787,0.66328073405243,0.778803003963311,356
"49","risikoarm","3","60+",1,"bier",0.550362453183803,0.526010751206459,0.574714155161148,420
"50","risikoarm","3","60+",1,"wein",0.82719337426179,0.744986831909118,0.909399916614463,431
"51","risikoarm","3","60+",1,"sprit",0.583377752173687,0.527349527170629,0.639405977176746,217
"52","risikoarm","3","60+",2,"bier",0.555567448044116,0.530144726095304,0.580990169992929,366
"53","risikoarm","3","60+",2,"wein",0.808569891399877,0.734031634278474,0.883108148521281,421
"54","risikoarm","3","60+",2,"sprit",0.560289883215825,0.510726120664167,0.609853645767484,190
"55","riskant","1","18-34",1,"bier",0.502620034657911,0.435089025387871,0.570151043927952,62
"56","riskant","1","18-34",1,"wein",0.536060895425363,0.429255987623844,0.642865803226881,43
"57","riskant","1","18-34",1,"sprit",0.559658581014423,0.461551865034364,0.657765296994482,41
"58","riskant","1","18-34",2,"bier",0.535861826603856,0.48121909468979,0.590504558517921,88
"59","riskant","1","18-34",2,"wein",0.523080129522748,0.463078022199701,0.583082236845795,91
"60","riskant","1","18-34",2,"sprit",0.545381471270158,0.46639847669635,0.624364465843966,61
"61","riskant","1","35-59",1,"bier",0.416299364714395,0.33751943621346,0.49507929321533,67
"62","riskant","1","35-59",1,"wein",0.476139223406524,0.393630321083358,0.558648125729689,49
"63","riskant","1","35-59",1,"sprit",0.453052738579536,0.371614828719886,0.534490648439186,38
"64","riskant","1","35-59",2,"bier",0.397782149282165,0.353480010579554,0.442084287984775,89
"65","riskant","1","35-59",2,"wein",0.464345641521044,0.416745782565307,0.511945500476782,83
