"","trinkgruppe","einkommensgruppe","altersgruppe","sex","beverage_type","avg_wert_pro_stdd_w","ci_low_wert_pro_stdd_w","ci_high_wert_pro_stdd_w","n_haushalte"
"1","hochriskant","niedrig","18-34","all","bier",0.433331687439796,0.32212821873344,0.544535156146152,14
"2","hochriskant","niedrig","18-34","all","wein",0.474196642535158,0.3392555821912,0.609137702879117,13
"3","hochriskant","niedrig","18-34","all","sprit",0.485620498866592,0.327458133588629,0.643782864144554,14
"4","hochriskant","niedrig","35+","all","bier",0.337997062777504,0.27012000749087,0.405874118064138,23
"5","hochriskant","niedrig","35+","all","wein",0.346298948466654,0.274880541827712,0.417717355105595,21
"6","hochriskant","niedrig","35+","all","sprit",0.366609952007254,0.303347745657417,0.429872158357092,16
"7","hochriskant","mittel","18-34","all","wein",0.574121745143704,0.42122201142472,0.727021478862689,15
"8","hochriskant","mittel","18-34","all","sprit",0.438847280038856,0.368293305622721,0.509401254454992,13
"9","hochriskant","mittel","35-59","all","sprit",0.352982129984768,0.257974852440989,0.447989407528547,14
"10","risikoarm","niedrig","18-34","Male","bier",0.660580940483988,0.579128021792184,0.742033859175792,115
"11","risikoarm","niedrig","18-34","Male","wein",0.571874036026921,0.500795601599027,0.642952470454815,101
"12","risikoarm","niedrig","18-34","Male","sprit",0.561434410658131,0.444795162953049,0.678073658363212,53
"13","risikoarm","niedrig","18-34","Female","bier",0.879012155068823,0.747160663927479,1.01086364621017,119
"14","risikoarm","niedrig","18-34","Female","wein",0.57614952754883,0.514532252018686,0.637766803078975,142
"15","risikoarm","niedrig","18-34","Female","sprit",0.50675066841353,0.375440396876264,0.638060939950796,43
"16","risikoarm","niedrig","35-59","Male","bier",0.48915296760584,0.447545209119951,0.530760726091728,153
"17","risikoarm","niedrig","35-59","Male","wein",0.519312740928184,0.458930998246976,0.579694483609393,119
"18","risikoarm","niedrig","35-59","Male","sprit",0.462657422222357,0.39722082028227,0.528094024162445,72
"19","risikoarm","niedrig","35-59","Female","bier",0.50332177806718,0.455528155799787,0.551115400334573,151
"20","risikoarm","niedrig","35-59","Female","wein",0.537309553471019,0.494600100240071,0.580019006701966,177
"21","risikoarm","niedrig","35-59","Female","sprit",0.464232972466821,0.401340973911947,0.527124971021696,76
"22","risikoarm","niedrig","60+","Male","bier",0.429134903850141,0.384986857031209,0.473282950669072,177
"23","risikoarm","niedrig","60+","Male","wein",0.54960668484591,0.502086298780518,0.597127070911301,144
"24","risikoarm","niedrig","60+","Male","sprit",0.524824437556269,0.420668717716871,0.628980157395666,82
"25","risikoarm","niedrig","60+","Female","bier",0.482914172670004,0.42174084122368,0.544087504116328,171
"26","risikoarm","niedrig","60+","Female","wein",0.566245045869588,0.522797636170012,0.609692455569163,210
"27","risikoarm","niedrig","60+","Female","sprit",0.534940265854551,0.415540803039174,0.654339728669929,103
"28","risikoarm","mittel","18-34","Male","bier",0.628784756049709,0.579737030494295,0.677832481605122,256
"29","risikoarm","mittel","18-34","Male","wein",0.659945885130037,0.596397786942714,0.723493983317361,221
"30","risikoarm","mittel","18-34","Male","sprit",0.555101082335932,0.496739012804246,0.613463151867618,128
"31","risikoarm","mittel","18-34","Female","bier",0.721530124308017,0.649173630670584,0.793886617945449,228
